번호,언어 제공자 ID,취득연도,방향,타입(단어/문장),파일명,한국어
411,1,2017,정면,단어,KETI_SL_0000000411.MOV,9
1247,2,2017,정면,단어,KETI_SL_0000001247.MTS,9
2024,3,2017,정면,단어,KETI_SL_0000002024.MOV,9
2924,4,2017,정면,단어,KETI_SL_0000002924.MOV,9
3752,5,2017,정면,단어,KETI_SL_0000003752.MOV,9
4599,6,2017,정면,단어,KETI_SL_0000004599.MOV,9
5437,7,2017,정면,단어,KETI_SL_0000005437.MOV,9
6276,8,2017,정면,단어,KETI_SL_0000006276.MOV,9
7115,9,2017,정면,단어,KETI_SL_0000007115.MOV,9
7953,10,2017,정면,단어,KETI_SL_0000007953.MOV,9
410,1,2017,정면,단어,KETI_SL_0000000410.MOV,10
1246,2,2017,정면,단어,KETI_SL_0000001246.MTS,10
2023,3,2017,정면,단어,KETI_SL_0000002023.MOV,10
2923,4,2017,정면,단어,KETI_SL_0000002923.MOV,10
3751,5,2017,정면,단어,KETI_SL_0000003751.MOV,10
4598,6,2017,정면,단어,KETI_SL_0000004598.MOV,10
5436,7,2017,정면,단어,KETI_SL_0000005436.MOV,10
6275,8,2017,정면,단어,KETI_SL_0000006275.MOV,10
7114,9,2017,정면,단어,KETI_SL_0000007114.MOV,10
7952,10,2017,정면,단어,KETI_SL_0000007952.MOV,10
409,1,2017,정면,단어,KETI_SL_0000000409.MOV,11
1245,2,2017,정면,단어,KETI_SL_0000001245.MTS,11
2021,3,2017,정면,단어,KETI_SL_0000002021.MOV,11
2922,4,2017,정면,단어,KETI_SL_0000002922.MOV,11
3750,5,2017,정면,단어,KETI_SL_0000003750.MOV,11
4597,6,2017,정면,단어,KETI_SL_0000004597.MOV,11
5435,7,2017,정면,단어,KETI_SL_0000005435.MOV,11
6274,8,2017,정면,단어,KETI_SL_0000006274.MOV,11
7113,9,2017,정면,단어,KETI_SL_0000007113.MOV,11
7951,10,2017,정면,단어,KETI_SL_0000007951.MOV,11
408,1,2017,정면,단어,KETI_SL_0000000408.MOV,12
1244,2,2017,정면,단어,KETI_SL_0000001244.MTS,12
2020,3,2017,정면,단어,KETI_SL_0000002020.MOV,12
2921,4,2017,정면,단어,KETI_SL_0000002921.MOV,12
3749,5,2017,정면,단어,KETI_SL_0000003749.MOV,12
4596,6,2017,정면,단어,KETI_SL_0000004596.MOV,12
5434,7,2017,정면,단어,KETI_SL_0000005434.MOV,12
6273,8,2017,정면,단어,KETI_SL_0000006273.MOV,12
7112,9,2017,정면,단어,KETI_SL_0000007112.MOV,12
7950,10,2017,정면,단어,KETI_SL_0000007950.MOV,12
407,1,2017,정면,단어,KETI_SL_0000000407.MOV,13
1243,2,2017,정면,단어,KETI_SL_0000001243.MTS,13
2019,3,2017,정면,단어,KETI_SL_0000002019.MOV,13
2920,4,2017,정면,단어,KETI_SL_0000002920.MOV,13
3748,5,2017,정면,단어,KETI_SL_0000003748.MOV,13
4595,6,2017,정면,단어,KETI_SL_0000004595.MOV,13
5433,7,2017,정면,단어,KETI_SL_0000005433.MOV,13
6272,8,2017,정면,단어,KETI_SL_0000006272.MOV,13
7111,9,2017,정면,단어,KETI_SL_0000007111.MOV,13
7949,10,2017,정면,단어,KETI_SL_0000007949.MOV,13
406,1,2017,정면,단어,KETI_SL_0000000406.MOV,14
1242,2,2017,정면,단어,KETI_SL_0000001242.MTS,14
2018,3,2017,정면,단어,KETI_SL_0000002018.MOV,14
2919,4,2017,정면,단어,KETI_SL_0000002919.MOV,14
3747,5,2017,정면,단어,KETI_SL_0000003747.MOV,14
4594,6,2017,정면,단어,KETI_SL_0000004594.MOV,14
5432,7,2017,정면,단어,KETI_SL_0000005432.MOV,14
6271,8,2017,정면,단어,KETI_SL_0000006271.MOV,14
7110,9,2017,정면,단어,KETI_SL_0000007110.MOV,14
7948,10,2017,정면,단어,KETI_SL_0000007948.MOV,14
405,1,2017,정면,단어,KETI_SL_0000000405.MOV,15
1241,2,2017,정면,단어,KETI_SL_0000001241.MTS,15
2017,3,2017,정면,단어,KETI_SL_0000002017.MOV,15
2918,4,2017,정면,단어,KETI_SL_0000002918.MOV,15
3746,5,2017,정면,단어,KETI_SL_0000003746.MOV,15
4593,6,2017,정면,단어,KETI_SL_0000004593.MOV,15
5431,7,2017,정면,단어,KETI_SL_0000005431.MOV,15
6270,8,2017,정면,단어,KETI_SL_0000006270.MOV,15
7109,9,2017,정면,단어,KETI_SL_0000007109.MOV,15
7947,10,2017,정면,단어,KETI_SL_0000007947.MOV,15
404,1,2017,정면,단어,KETI_SL_0000000404.MOV,16
1240,2,2017,정면,단어,KETI_SL_0000001240.MTS,16
2016,3,2017,정면,단어,KETI_SL_0000002016.MOV,16
2917,4,2017,정면,단어,KETI_SL_0000002917.MOV,16
3745,5,2017,정면,단어,KETI_SL_0000003745.MOV,16
4592,6,2017,정면,단어,KETI_SL_0000004592.MOV,16
5430,7,2017,정면,단어,KETI_SL_0000005430.MOV,16
6269,8,2017,정면,단어,KETI_SL_0000006269.MOV,16
7108,9,2017,정면,단어,KETI_SL_0000007108.MOV,16
7946,10,2017,정면,단어,KETI_SL_0000007946.MOV,16
403,1,2017,정면,단어,KETI_SL_0000000403.MOV,17
1239,2,2017,정면,단어,KETI_SL_0000001239.MTS,17
2015,3,2017,정면,단어,KETI_SL_0000002015.MOV,17
2916,4,2017,정면,단어,KETI_SL_0000002916.MOV,17
3744,5,2017,정면,단어,KETI_SL_0000003744.MOV,17
4591,6,2017,정면,단어,KETI_SL_0000004591.MOV,17
5429,7,2017,정면,단어,KETI_SL_0000005429.MOV,17
6268,8,2017,정면,단어,KETI_SL_0000006268.MOV,17
7107,9,2017,정면,단어,KETI_SL_0000007107.MOV,17
7945,10,2017,정면,단어,KETI_SL_0000007945.MOV,17
402,1,2017,정면,단어,KETI_SL_0000000402.MOV,18
1238,2,2017,정면,단어,KETI_SL_0000001238.MTS,18
2014,3,2017,정면,단어,KETI_SL_0000002014.MOV,18
2915,4,2017,정면,단어,KETI_SL_0000002915.MOV,18
3743,5,2017,정면,단어,KETI_SL_0000003743.MOV,18
4590,6,2017,정면,단어,KETI_SL_0000004590.MOV,18
5428,7,2017,정면,단어,KETI_SL_0000005428.MOV,18
6267,8,2017,정면,단어,KETI_SL_0000006267.MOV,18
7106,9,2017,정면,단어,KETI_SL_0000007106.MOV,18
7944,10,2017,정면,단어,KETI_SL_0000007944.MOV,18
401,1,2017,정면,단어,KETI_SL_0000000401.MOV,19
1237,2,2017,정면,단어,KETI_SL_0000001237.MTS,19
2013,3,2017,정면,단어,KETI_SL_0000002013.MOV,19
2914,4,2017,정면,단어,KETI_SL_0000002914.MOV,19
3742,5,2017,정면,단어,KETI_SL_0000003742.MOV,19
4589,6,2017,정면,단어,KETI_SL_0000004589.MOV,19
5427,7,2017,정면,단어,KETI_SL_0000005427.MOV,19
6266,8,2017,정면,단어,KETI_SL_0000006266.MOV,19
7105,9,2017,정면,단어,KETI_SL_0000007105.MOV,19
7943,10,2017,정면,단어,KETI_SL_0000007943.MOV,19
400,1,2017,정면,단어,KETI_SL_0000000400.MOV,20
1236,2,2017,정면,단어,KETI_SL_0000001236.MTS,20
2012,3,2017,정면,단어,KETI_SL_0000002012.MOV,20
2913,4,2017,정면,단어,KETI_SL_0000002913.MOV,20
3741,5,2017,정면,단어,KETI_SL_0000003741.MOV,20
4588,6,2017,정면,단어,KETI_SL_0000004588.MOV,20
5426,7,2017,정면,단어,KETI_SL_0000005426.MOV,20
6265,8,2017,정면,단어,KETI_SL_0000006265.MOV,20
7104,9,2017,정면,단어,KETI_SL_0000007104.MOV,20
7942,10,2017,정면,단어,KETI_SL_0000007942.MOV,20
399,1,2017,정면,단어,KETI_SL_0000000399.MOV,21
1235,2,2017,정면,단어,KETI_SL_0000001235.MTS,21
2009,3,2017,정면,단어,KETI_SL_0000002009.MOV,21
2912,4,2017,정면,단어,KETI_SL_0000002912.MOV,21
3740,5,2017,정면,단어,KETI_SL_0000003740.MOV,21
4587,6,2017,정면,단어,KETI_SL_0000004587.MOV,21
5425,7,2017,정면,단어,KETI_SL_0000005425.MOV,21
6264,8,2017,정면,단어,KETI_SL_0000006264.MOV,21
7103,9,2017,정면,단어,KETI_SL_0000007103.MOV,21
7941,10,2017,정면,단어,KETI_SL_0000007941.MOV,21
398,1,2017,정면,단어,KETI_SL_0000000398.MOV,22
1234,2,2017,정면,단어,KETI_SL_0000001234.MTS,22
2008,3,2017,정면,단어,KETI_SL_0000002008.MOV,22
2911,4,2017,정면,단어,KETI_SL_0000002911.MOV,22
3739,5,2017,정면,단어,KETI_SL_0000003739.MOV,22
4586,6,2017,정면,단어,KETI_SL_0000004586.MOV,22
5424,7,2017,정면,단어,KETI_SL_0000005424.MOV,22
6263,8,2017,정면,단어,KETI_SL_0000006263.MOV,22
7102,9,2017,정면,단어,KETI_SL_0000007102.MOV,22
7940,10,2017,정면,단어,KETI_SL_0000007940.MOV,22
379,1,2017,정면,단어,KETI_SL_0000000379.MOV,23
1233,2,2017,정면,단어,KETI_SL_0000001233.MTS,23
2007,3,2017,정면,단어,KETI_SL_0000002007.MOV,23
2892,4,2017,정면,단어,KETI_SL_0000002892.MOV,23
3771,5,2017,정면,단어,KETI_SL_0000003771.MTS,23
4567,6,2017,정면,단어,KETI_SL_0000004567.MOV,23
5405,7,2017,정면,단어,KETI_SL_0000005405.MOV,23
6244,8,2017,정면,단어,KETI_SL_0000006244.MOV,23
7082,9,2017,정면,단어,KETI_SL_0000007082.MOV,23
7939,10,2017,정면,단어,KETI_SL_0000007939.MOV,23
397,1,2017,정면,단어,KETI_SL_0000000397.MOV,24
1232,2,2017,정면,단어,KETI_SL_0000001232.MTS,24
2006,3,2017,정면,단어,KETI_SL_0000002006.MOV,24
2910,4,2017,정면,단어,KETI_SL_0000002910.MOV,24
3738,5,2017,정면,단어,KETI_SL_0000003738.MOV,24
4585,6,2017,정면,단어,KETI_SL_0000004585.MOV,24
5423,7,2017,정면,단어,KETI_SL_0000005423.MOV,24
6262,8,2017,정면,단어,KETI_SL_0000006262.MOV,24
7101,9,2017,정면,단어,KETI_SL_0000007101.MOV,24
7938,10,2017,정면,단어,KETI_SL_0000007938.MOV,24
395,1,2017,정면,단어,KETI_SL_0000000395.MOV,25
1231,2,2017,정면,단어,KETI_SL_0000001231.MTS,25
2005,3,2017,정면,단어,KETI_SL_0000002005.MOV,25
2908,4,2017,정면,단어,KETI_SL_0000002908.MOV,25
3736,5,2017,정면,단어,KETI_SL_0000003736.MOV,25
4583,6,2017,정면,단어,KETI_SL_0000004583.MOV,25
5421,7,2017,정면,단어,KETI_SL_0000005421.MOV,25
6260,8,2017,정면,단어,KETI_SL_0000006260.MOV,25
7099,9,2017,정면,단어,KETI_SL_0000007099.MOV,25
7937,10,2017,정면,단어,KETI_SL_0000007937.MOV,25
396,1,2017,정면,단어,KETI_SL_0000000396.MOV,26
1230,2,2017,정면,단어,KETI_SL_0000001230.MTS,26
2004,3,2017,정면,단어,KETI_SL_0000002004.MOV,26
2909,4,2017,정면,단어,KETI_SL_0000002909.MOV,26
3737,5,2017,정면,단어,KETI_SL_0000003737.MOV,26
4584,6,2017,정면,단어,KETI_SL_0000004584.MOV,26
5422,7,2017,정면,단어,KETI_SL_0000005422.MOV,26
6261,8,2017,정면,단어,KETI_SL_0000006261.MOV,26
7100,9,2017,정면,단어,KETI_SL_0000007100.MOV,26
7936,10,2017,정면,단어,KETI_SL_0000007936.MOV,26
394,1,2017,정면,단어,KETI_SL_0000000394.MOV,27
1229,2,2017,정면,단어,KETI_SL_0000001229.MTS,27
2003,3,2017,정면,단어,KETI_SL_0000002003.MOV,27
2907,4,2017,정면,단어,KETI_SL_0000002907.MOV,27
3735,5,2017,정면,단어,KETI_SL_0000003735.MOV,27
4582,6,2017,정면,단어,KETI_SL_0000004582.MOV,27
5420,7,2017,정면,단어,KETI_SL_0000005420.MOV,27
6259,8,2017,정면,단어,KETI_SL_0000006259.MOV,27
7098,9,2017,정면,단어,KETI_SL_0000007098.MOV,27
7935,10,2017,정면,단어,KETI_SL_0000007935.MOV,27
393,1,2017,정면,단어,KETI_SL_0000000393.MOV,28
1228,2,2017,정면,단어,KETI_SL_0000001228.MTS,28
2002,3,2017,정면,단어,KETI_SL_0000002002.MOV,28
2906,4,2017,정면,단어,KETI_SL_0000002906.MOV,28
3734,5,2017,정면,단어,KETI_SL_0000003734.MOV,28
4581,6,2017,정면,단어,KETI_SL_0000004581.MOV,28
5419,7,2017,정면,단어,KETI_SL_0000005419.MOV,28
6258,8,2017,정면,단어,KETI_SL_0000006258.MOV,28
7097,9,2017,정면,단어,KETI_SL_0000007097.MOV,28
7934,10,2017,정면,단어,KETI_SL_0000007934.MOV,28
392,1,2017,정면,단어,KETI_SL_0000000392.MOV,29
1227,2,2017,정면,단어,KETI_SL_0000001227.MTS,29
2001,3,2017,정면,단어,KETI_SL_0000002001.MOV,29
2905,4,2017,정면,단어,KETI_SL_0000002905.MOV,29
3733,5,2017,정면,단어,KETI_SL_0000003733.MOV,29
4580,6,2017,정면,단어,KETI_SL_0000004580.MOV,29
5418,7,2017,정면,단어,KETI_SL_0000005418.MOV,29
6257,8,2017,정면,단어,KETI_SL_0000006257.MOV,29
7096,9,2017,정면,단어,KETI_SL_0000007096.MOV,29
7933,10,2017,정면,단어,KETI_SL_0000007933.MOV,29
391,1,2017,정면,단어,KETI_SL_0000000391.MOV,30
1226,2,2017,정면,단어,KETI_SL_0000001226.MTS,30
2000,3,2017,정면,단어,KETI_SL_0000002000.MOV,30
2904,4,2017,정면,단어,KETI_SL_0000002904.MOV,30
3732,5,2017,정면,단어,KETI_SL_0000003732.MOV,30
4579,6,2017,정면,단어,KETI_SL_0000004579.MOV,30
5417,7,2017,정면,단어,KETI_SL_0000005417.MOV,30
6256,8,2017,정면,단어,KETI_SL_0000006256.MOV,30
7095,9,2017,정면,단어,KETI_SL_0000007095.MOV,30
7932,10,2017,정면,단어,KETI_SL_0000007932.MOV,30
390,1,2017,정면,단어,KETI_SL_0000000390.MOV,31
1225,2,2017,정면,단어,KETI_SL_0000001225.MTS,31
1998,3,2017,정면,단어,KETI_SL_0000001998.MOV,31
2903,4,2017,정면,단어,KETI_SL_0000002903.MOV,31
3731,5,2017,정면,단어,KETI_SL_0000003731.MOV,31
4578,6,2017,정면,단어,KETI_SL_0000004578.MOV,31
5416,7,2017,정면,단어,KETI_SL_0000005416.MOV,31
6255,8,2017,정면,단어,KETI_SL_0000006255.MOV,31
7094,9,2017,정면,단어,KETI_SL_0000007094.MOV,31
7931,10,2017,정면,단어,KETI_SL_0000007931.MOV,31
389,1,2017,정면,단어,KETI_SL_0000000389.MOV,32
1224,2,2017,정면,단어,KETI_SL_0000001224.MTS,32
1997,3,2017,정면,단어,KETI_SL_0000001997.MOV,32
2902,4,2017,정면,단어,KETI_SL_0000002902.MOV,32
3730,5,2017,정면,단어,KETI_SL_0000003730.MOV,32
4577,6,2017,정면,단어,KETI_SL_0000004577.MOV,32
5415,7,2017,정면,단어,KETI_SL_0000005415.MOV,32
6254,8,2017,정면,단어,KETI_SL_0000006254.MOV,32
7093,9,2017,정면,단어,KETI_SL_0000007093.MOV,32
7930,10,2017,정면,단어,KETI_SL_0000007930.MOV,32
388,1,2017,정면,단어,KETI_SL_0000000388.MOV,33
1223,2,2017,정면,단어,KETI_SL_0000001223.MTS,33
1996,3,2017,정면,단어,KETI_SL_0000001996.MOV,33
2901,4,2017,정면,단어,KETI_SL_0000002901.MOV,33
3729,5,2017,정면,단어,KETI_SL_0000003729.MOV,33
4576,6,2017,정면,단어,KETI_SL_0000004576.MOV,33
5414,7,2017,정면,단어,KETI_SL_0000005414.MOV,33
6253,8,2017,정면,단어,KETI_SL_0000006253.MOV,33
7092,9,2017,정면,단어,KETI_SL_0000007092.MOV,33
7929,10,2017,정면,단어,KETI_SL_0000007929.MOV,33
387,1,2017,정면,단어,KETI_SL_0000000387.MOV,34
1222,2,2017,정면,단어,KETI_SL_0000001222.MTS,34
1995,3,2017,정면,단어,KETI_SL_0000001995.MOV,34
2900,4,2017,정면,단어,KETI_SL_0000002900.MOV,34
3728,5,2017,정면,단어,KETI_SL_0000003728.MOV,34
4575,6,2017,정면,단어,KETI_SL_0000004575.MOV,34
5413,7,2017,정면,단어,KETI_SL_0000005413.MOV,34
6252,8,2017,정면,단어,KETI_SL_0000006252.MOV,34
7091,9,2017,정면,단어,KETI_SL_0000007091.MOV,34
7928,10,2017,정면,단어,KETI_SL_0000007928.MOV,34
386,1,2017,정면,단어,KETI_SL_0000000386.MOV,35
1221,2,2017,정면,단어,KETI_SL_0000001221.MTS,35
1994,3,2017,정면,단어,KETI_SL_0000001994.MOV,35
2899,4,2017,정면,단어,KETI_SL_0000002899.MOV,35
3727,5,2017,정면,단어,KETI_SL_0000003727.MOV,35
4574,6,2017,정면,단어,KETI_SL_0000004574.MOV,35
5412,7,2017,정면,단어,KETI_SL_0000005412.MOV,35
6251,8,2017,정면,단어,KETI_SL_0000006251.MOV,35
7090,9,2017,정면,단어,KETI_SL_0000007090.MOV,35
7927,10,2017,정면,단어,KETI_SL_0000007927.MOV,35
385,1,2017,정면,단어,KETI_SL_0000000385.MOV,36
1220,2,2017,정면,단어,KETI_SL_0000001220.MTS,36
1993,3,2017,정면,단어,KETI_SL_0000001993.MOV,36
2898,4,2017,정면,단어,KETI_SL_0000002898.MOV,36
3726,5,2017,정면,단어,KETI_SL_0000003726.MOV,36
4573,6,2017,정면,단어,KETI_SL_0000004573.MOV,36
5411,7,2017,정면,단어,KETI_SL_0000005411.MOV,36
6250,8,2017,정면,단어,KETI_SL_0000006250.MOV,36
7089,9,2017,정면,단어,KETI_SL_0000007089.MOV,36
7926,10,2017,정면,단어,KETI_SL_0000007926.MOV,36
384,1,2017,정면,단어,KETI_SL_0000000384.MOV,37
1219,2,2017,정면,단어,KETI_SL_0000001219.MTS,37
1992,3,2017,정면,단어,KETI_SL_0000001992.MOV,37
2897,4,2017,정면,단어,KETI_SL_0000002897.MOV,37
3725,5,2017,정면,단어,KETI_SL_0000003725.MOV,37
4572,6,2017,정면,단어,KETI_SL_0000004572.MOV,37
5410,7,2017,정면,단어,KETI_SL_0000005410.MOV,37
6249,8,2017,정면,단어,KETI_SL_0000006249.MOV,37
7088,9,2017,정면,단어,KETI_SL_0000007088.MOV,37
7925,10,2017,정면,단어,KETI_SL_0000007925.MOV,37
135,1,2017,정면,단어,KETI_SL_0000000135.MOV,38
1218,2,2017,정면,단어,KETI_SL_0000001218.MTS,38
1991,3,2017,정면,단어,KETI_SL_0000001991.MOV,38
2649,4,2017,정면,단어,KETI_SL_0000002649.MOV,38
3588,5,2017,정면,단어,KETI_SL_0000003588.MOV,38
4324,6,2017,정면,단어,KETI_SL_0000004324.MOV,38
5272,7,2017,정면,단어,KETI_SL_0000005272.MOV,38
6001,8,2017,정면,단어,KETI_SL_0000006001.MOV,38
7087,9,2017,정면,단어,KETI_SL_0000007087.MOV,38
7924,10,2017,정면,단어,KETI_SL_0000007924.MOV,38
383,1,2017,정면,단어,KETI_SL_0000000383.MOV,39
1217,2,2017,정면,단어,KETI_SL_0000001217.MTS,39
1990,3,2017,정면,단어,KETI_SL_0000001990.MOV,39
2896,4,2017,정면,단어,KETI_SL_0000002896.MOV,39
3724,5,2017,정면,단어,KETI_SL_0000003724.MOV,39
4571,6,2017,정면,단어,KETI_SL_0000004571.MOV,39
5409,7,2017,정면,단어,KETI_SL_0000005409.MOV,39
6248,8,2017,정면,단어,KETI_SL_0000006248.MOV,39
7086,9,2017,정면,단어,KETI_SL_0000007086.MOV,39
7923,10,2017,정면,단어,KETI_SL_0000007923.MOV,39
382,1,2017,정면,단어,KETI_SL_0000000382.MOV,40
1216,2,2017,정면,단어,KETI_SL_0000001216.MTS,40
1989,3,2017,정면,단어,KETI_SL_0000001989.MOV,40
2895,4,2017,정면,단어,KETI_SL_0000002895.MOV,40
3723,5,2017,정면,단어,KETI_SL_0000003723.MOV,40
4570,6,2017,정면,단어,KETI_SL_0000004570.MOV,40
5408,7,2017,정면,단어,KETI_SL_0000005408.MOV,40
6247,8,2017,정면,단어,KETI_SL_0000006247.MOV,40
7085,9,2017,정면,단어,KETI_SL_0000007085.MOV,40
7922,10,2017,정면,단어,KETI_SL_0000007922.MOV,40
381,1,2017,정면,단어,KETI_SL_0000000381.MOV,41
1215,2,2017,정면,단어,KETI_SL_0000001215.MTS,41
1987,3,2017,정면,단어,KETI_SL_0000001987.MOV,41
2894,4,2017,정면,단어,KETI_SL_0000002894.MOV,41
3722,5,2017,정면,단어,KETI_SL_0000003722.MOV,41
4569,6,2017,정면,단어,KETI_SL_0000004569.MOV,41
5407,7,2017,정면,단어,KETI_SL_0000005407.MOV,41
6246,8,2017,정면,단어,KETI_SL_0000006246.MOV,41
7084,9,2017,정면,단어,KETI_SL_0000007084.MOV,41
7921,10,2017,정면,단어,KETI_SL_0000007921.MOV,41
380,1,2017,정면,단어,KETI_SL_0000000380.MOV,42
1214,2,2017,정면,단어,KETI_SL_0000001214.MTS,42
1986,3,2017,정면,단어,KETI_SL_0000001986.MOV,42
2893,4,2017,정면,단어,KETI_SL_0000002893.MOV,42
3721,5,2017,정면,단어,KETI_SL_0000003721.MOV,42
4568,6,2017,정면,단어,KETI_SL_0000004568.MOV,42
5406,7,2017,정면,단어,KETI_SL_0000005406.MOV,42
6245,8,2017,정면,단어,KETI_SL_0000006245.MOV,42
7083,9,2017,정면,단어,KETI_SL_0000007083.MOV,42
7920,10,2017,정면,단어,KETI_SL_0000007920.MOV,42
378,1,2017,정면,단어,KETI_SL_0000000378.MOV,43
1213,2,2017,정면,단어,KETI_SL_0000001213.MTS,43
1985,3,2017,정면,단어,KETI_SL_0000001985.MOV,43
2891,4,2017,정면,단어,KETI_SL_0000002891.MOV,43
3720,5,2017,정면,단어,KETI_SL_0000003720.MOV,43
4566,6,2017,정면,단어,KETI_SL_0000004566.MOV,43
5404,7,2017,정면,단어,KETI_SL_0000005404.MOV,43
6243,8,2017,정면,단어,KETI_SL_0000006243.MOV,43
7081,9,2017,정면,단어,KETI_SL_0000007081.MOV,43
7919,10,2017,정면,단어,KETI_SL_0000007919.MOV,43
377,1,2017,정면,단어,KETI_SL_0000000377.MOV,44
1212,2,2017,정면,단어,KETI_SL_0000001212.MTS,44
1984,3,2017,정면,단어,KETI_SL_0000001984.MOV,44
2890,4,2017,정면,단어,KETI_SL_0000002890.MOV,44
3719,5,2017,정면,단어,KETI_SL_0000003719.MOV,44
4565,6,2017,정면,단어,KETI_SL_0000004565.MOV,44
